sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
8.484;8370;;10s;Yes;No;2;0.82635;0.83078;0.00000;0.05647;1.65713;PonPokoAgent@0;GroupY@1;0.8307790809779225;0.8263532012031874;0.8307790809779225;0.8263532012031874;party8_utility.xml;party9_utility.xml
8.542;7889;;10s;Yes;No;2;0.82635;0.83078;0.00000;0.05647;1.65713;GroupY@2;PonPokoAgent@3;0.8307790809779225;0.8263532012031874;0.8307790809779225;0.8263532012031874;party8_utility.xml;party9_utility.xml
;3;Session genius.core.session.Session@6f15062e failed: Failed to execute protocol: Execution failed of Appaloosa@4:java.lang.IllegalArgumentException: bound must be greater than origin: bound must be greater than origin:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.anac.y2017.ponpokoagent.PonPokoAgent];10s;No;;0;;;;;;Appaloosa;PonPokoAgent;0.0;0.0;0.0;0.0;party8_utility;party9_utility
10.000;9174;;10s;No;No;1;0.00000;0.00000;1.03216;1.17788;0.00000;PonPokoAgent@6;Appaloosa@7;0.0;0.0;0.0;0.0;party8_utility.xml;party9_utility.xml
9.941;9177;;10s;Yes;No;2;0.72136;0.85276;0.00333;0.16495;1.57411;GroupY@8;Appaloosa@9;0.7213567114182498;0.8527567556498478;0.7213567114182498;0.8527567556498478;party8_utility.xml;party9_utility.xml
;3;Session genius.core.session.Session@47983ec7 failed: Failed to execute protocol: Execution failed of Appaloosa@10:java.lang.IllegalArgumentException: bound must be greater than origin: bound must be greater than origin:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, C:\Users\og4428\orhun_workspace\Anac\bin\groupY\GroupY.class];10s;No;;0;;;;;;Appaloosa;GroupY;0.0;0.0;0.0;0.0;party8_utility;party9_utility
9.205;9338;;10s;Yes;No;2;0.78982;0.87383;0.00000;0.00000;1.66365;PonPokoAgent@12;GroupY@13;0.8738318208682178;0.7898172205265052;0.8738318208682178;0.7898172205265052;party8_utility.xml;party9_utility.xml
8.528;8033;;10s;Yes;No;2;0.82635;0.83078;0.00000;0.05647;1.65713;GroupY@14;PonPokoAgent@15;0.8307790809779225;0.8263532012031874;0.8307790809779225;0.8263532012031874;party8_utility.xml;party9_utility.xml
;3;Session genius.core.session.Session@235ec8b6 failed: Failed to execute protocol: Execution failed of Appaloosa@16:java.lang.IllegalArgumentException: bound must be greater than origin: bound must be greater than origin:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.anac.y2017.ponpokoagent.PonPokoAgent];10s;No;;0;;;;;;Appaloosa;PonPokoAgent;0.0;0.0;0.0;0.0;party8_utility;party9_utility
10.000;7169;;10s;No;No;1;0.00000;0.00000;1.03216;1.17788;0.00000;PonPokoAgent@18;Appaloosa@19;0.0;0.0;0.0;0.0;party8_utility.xml;party9_utility.xml
9.907;7958;;10s;Yes;No;2;0.74324;0.85276;0.00000;0.14497;1.59600;GroupY@20;Appaloosa@21;0.7432411853301844;0.8527567556498478;0.7432411853301844;0.8527567556498478;party8_utility.xml;party9_utility.xml
9.321;6190;;10s;Yes;No;2;0.78982;0.87383;0.00000;0.00000;1.66365;Appaloosa@22;GroupY@23;0.8738318208682178;0.7898172205265052;0.8738318208682178;0.7898172205265052;party8_utility.xml;party9_utility.xml
9.697;6290;;10s;Yes;No;2;0.75048;0.91246;0.00000;0.05513;1.66294;PonPokoAgent@24;GroupY@25;0.9124619064965962;0.7504778735349671;0.9124619064965962;0.7504778735349671;party8_utility.xml;party9_utility.xml
9.900;8358;;10s;Yes;No;2;0.71931;0.85538;0.00000;0.16786;1.57469;GroupY@26;PonPokoAgent@27;0.719311478354704;0.8553827988457351;0.719311478354704;0.8553827988457351;party8_utility.xml;party9_utility.xml
;3;Session genius.core.session.Session@37f0a1a8 failed: Failed to execute protocol: Execution failed of Appaloosa@28:java.lang.IllegalArgumentException: bound must be greater than origin: bound must be greater than origin:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.anac.y2017.ponpokoagent.PonPokoAgent];10s;No;;0;;;;;;Appaloosa;PonPokoAgent;0.0;0.0;0.0;0.0;party8_utility;party9_utility
10.000;7144;;10s;No;No;1;0.00000;0.00000;1.03216;1.17788;0.00000;PonPokoAgent@30;Appaloosa@31;0.0;0.0;0.0;0.0;party8_utility.xml;party9_utility.xml
9.824;6871;;10s;Yes;No;2;0.74324;0.85276;0.00000;0.14497;1.59600;GroupY@32;Appaloosa@33;0.7432411853301844;0.8527567556498478;0.7432411853301844;0.8527567556498478;party8_utility.xml;party9_utility.xml
9.367;4590;;10s;Yes;No;2;0.78982;0.87383;0.00000;0.00000;1.66365;Appaloosa@34;GroupY@35;0.8738318208682178;0.7898172205265052;0.8738318208682178;0.7898172205265052;party8_utility.xml;party9_utility.xml
9.206;8714;;10s;Yes;No;2;0.78982;0.87383;0.00000;0.00000;1.66365;PonPokoAgent@36;GroupY@37;0.8738318208682178;0.7898172205265052;0.8738318208682178;0.7898172205265052;party8_utility.xml;party9_utility.xml
8.613;8161;;10s;Yes;No;2;0.82635;0.83078;0.00000;0.05647;1.65713;GroupY@38;PonPokoAgent@39;0.8307790809779225;0.8263532012031874;0.8307790809779225;0.8263532012031874;party8_utility.xml;party9_utility.xml
;3;Session genius.core.session.Session@45103965 failed: Failed to execute protocol: Execution failed of Appaloosa@40:java.lang.IllegalArgumentException: bound must be greater than origin: bound must be greater than origin:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, agents.anac.y2017.ponpokoagent.PonPokoAgent];10s;No;;0;;;;;;Appaloosa;PonPokoAgent;0.0;0.0;0.0;0.0;party8_utility;party9_utility
