sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Utility 1;Utility 2;Disc. Util. 1;Disc. Util. 2;Profile 1;Profile 2
4.516;5459;;10s;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;BoulwareNegotiationParty@0;ConcederNegotiationParty@1;0.975;0.49464690002105177;0.975;0.49464690002105177;party1_utility.xml;party2_utility.xml
1.174;1415;;10s;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;ConcederNegotiationParty@2;BoulwareNegotiationParty@3;0.6583333333333333;1.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
;2;Session genius.core.session.Session@6d243532 failed: Failed to execute protocol: Execution failed of BoulwareNegotiationParty@5:java.lang.IllegalArgumentException: Attribute neither nominal nor string!: Attribute neither nominal nor string!:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, negotiator.parties.BoulwareNegotiationParty];10s;No;;0;;;;;;Appaloosa;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;2;Session genius.core.session.Session@39fedbf4 failed: Failed to execute protocol: Execution failed of BoulwareNegotiationParty@6:java.lang.IllegalArgumentException: Attribute neither nominal nor string!: Attribute neither nominal nor string!:[negotiator.parties.BoulwareNegotiationParty, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;BoulwareNegotiationParty;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;2;Session genius.core.session.Session@5c742bf2 failed: Failed to execute protocol: Execution failed of ConcederNegotiationParty@8:java.lang.IllegalArgumentException: Attribute neither nominal nor string!: Attribute neither nominal nor string!:[negotiator.parties.ConcederNegotiationParty, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;ConcederNegotiationParty;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;2;Session genius.core.session.Session@644e638d failed: Failed to execute protocol: Execution failed of ConcederNegotiationParty@11:java.lang.IllegalArgumentException: Attribute neither nominal nor string!: Attribute neither nominal nor string!:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, negotiator.parties.ConcederNegotiationParty];10s;No;;0;;;;;;Appaloosa;ConcederNegotiationParty;0.0;0.0;0.0;0.0;party1_utility;party2_utility
4.515;5447;;10s;Yes;No;2;0.49465;0.97500;0.00000;0.47369;1.46965;BoulwareNegotiationParty@12;ConcederNegotiationParty@13;0.975;0.49464690002105177;0.975;0.49464690002105177;party1_utility.xml;party2_utility.xml
1.173;1416;;10s;Yes;No;2;0.65833;1.00000;0.00000;0.14542;1.65833;ConcederNegotiationParty@14;BoulwareNegotiationParty@15;0.6583333333333333;1.0;0.6583333333333333;1.0;party1_utility.xml;party2_utility.xml
;2;Session genius.core.session.Session@d319f20 failed: Failed to execute protocol: Execution failed of BoulwareNegotiationParty@17:java.lang.IllegalArgumentException: Attribute neither nominal nor string!: Attribute neither nominal nor string!:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, negotiator.parties.BoulwareNegotiationParty];10s;No;;0;;;;;;Appaloosa;BoulwareNegotiationParty;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;2;Session genius.core.session.Session@47267862 failed: Failed to execute protocol: Execution failed of BoulwareNegotiationParty@18:java.lang.IllegalArgumentException: Attribute neither nominal nor string!: Attribute neither nominal nor string!:[negotiator.parties.BoulwareNegotiationParty, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;BoulwareNegotiationParty;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;2;Session genius.core.session.Session@74938287 failed: Failed to execute protocol: Execution failed of ConcederNegotiationParty@20:java.lang.IllegalArgumentException: Attribute neither nominal nor string!: Attribute neither nominal nor string!:[negotiator.parties.ConcederNegotiationParty, C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class];10s;No;;0;;;;;;ConcederNegotiationParty;Appaloosa;0.0;0.0;0.0;0.0;party1_utility;party2_utility
;2;Session genius.core.session.Session@da1bb6b failed: Failed to execute protocol: Execution failed of ConcederNegotiationParty@23:java.lang.IllegalArgumentException: Attribute neither nominal nor string!: Attribute neither nominal nor string!:[C:\Users\og4428\orhun_workspace\Anac\bin\multipartyexample\Appaloosa.class, negotiator.parties.ConcederNegotiationParty];10s;No;;0;;;;;;Appaloosa;ConcederNegotiationParty;0.0;0.0;0.0;0.0;party1_utility;party2_utility
